id,name,name_eng,full_path_slug,description,short_description,note,score,type,level,is_deleted,is_visible,meta_title,meta_description,meta_social_title,meta_social_description,created_at,updated_at,created_by_id,updated_by_id,product_suggestion_list_enable
11,Chống nhiễm trùng,,thuoc/chong-nhiem-trung,,,,2,product,2,FALSE,FALSE,,,,,57:03.8,30:21.0,,,FALSE
12,Thuốc chống vi rút,,thuoc/thuoc-chong-vi-rut,,,,3,product,2,FALSE,FALSE,,,,,57:03.8,31:42.4,,,FALSE
13,Thuốc thay thế ( y học cổ truyền & hỗ trợ khác),,thuoc/thuoc-thay-the,,,,4,product,2,FALSE,FALSE,"Thuốc thay thế các loại, thuốc Y học cổ truyền & hỗ trợ khác","Mua thuốc thay thế các loại, thuốc y học cổ truyền và hỗ trợ khác giá tốt, chính hãng tại Nhà thuốc Long Châu uy tín, chất lượng, có dược sĩ tư vấn",,,57:03.8,27:12.3,,,FALSE
14,Hệ tim mạch & tạo máu,,thuoc/he-tim-mach-and-tao-mau,,,,5,product,2,FALSE,FALSE,Thuốc cho Hệ tim mạch & Tạo máu - Nhà Thuốc Long Châu,"Nhà Thuốc Long Châu cung cấp thuốc cho Hệ tim mạch & Tạo máu tốt, chính hãng, giá tốt, có đội ngũ dược sĩ tư vấn tận tình, giao hàng nhanh trong ngày. Xem ngay!",,,57:03.8,28:16.2,,,FALSE
15,Thuốc kháng sinh (đường toàn thân),,thuoc/thuoc-khang-sinh-duong-toan-than,,,,6,product,2,FALSE,FALSE,"500+ Thuốc kháng sinh dạng viên, dạng bột chính hãng, giá tốt","Mua thuốc kháng sinh các loại dạng viên nén, dạng bột: Klamentin 875/125, Amoxicillin, Claminat 250, Cledomox 625mg,... giá tốt, chính hãng tại Long Châu.",,,57:03.8,33:24.2,,,FALSE
16,Thuốc chống ung thư,,thuoc/thuoc-chong-ung-thu,,,,7,product,2,FALSE,FALSE,+24 Thuốc Hỗ Trợ Điều Trị Ung Thư Hiệu Quả - Long Châu,"Mua Thuốc hỗ trợ điều trị ung thư chính hãng, uy tín, đáng tin cậy, có đội ngũ dược sĩ tư vấn tận tình, giao hàng nhanh trong ngày. Xem ngay!",,,57:03.8,39:56.8,,,FALSE
17,Chế phẩm Sinh học,,thuoc/che-pham-sinh-hoc,,,,8,product,2,FALSE,FALSE,,,,,57:03.8,32:46.3,,,FALSE
18,Hệ thần kinh trung ương,,thuoc/he-than-kinh-trung-uong,,,,9,product,2,FALSE,FALSE,,,,,57:03.8,41:22.4,,,FALSE
19,Điều biến đông máu,,thuoc/dieu-bien-dong-mau,,,,10,product,2,FALSE,FALSE,,,,,57:03.8,33:47.7,,,FALSE
20,Hệ tiêu hóa & gan mật,,thuoc/he-tieu-hoa-and-gan-mat,,,,11,product,2,FALSE,FALSE,Hệ tiêu hóa & gan mật - Nhà Thuốc Long châu,"Hệ tiêu hóa & gan mật tại Nhà thuốc Long Châu cam kết hàng chính hãng, có dược sĩ tư vấn miền phí. Giá tốt - Giao hàng nhanh trong 2-4 giờ.",,,57:03.8,45:47.2,,,FALSE
21,Hệ tiết niệu-sinh dục,,thuoc/he-tiet-nieu-sinh-duc,,,,12,product,2,FALSE,FALSE,,,,,57:03.8,49:36.1,,,FALSE
22,Hormon (Nội tiết tố),,thuoc/hormon-noi-tiet-to,,,,13,product,2,FALSE,FALSE,,,,,57:03.8,51:11.8,,,FALSE
23,Thuốc tâm lý trị liệu,,thuoc/thuoc-tam-ly-tri-lieu,,,,14,product,2,FALSE,FALSE,,,,,57:03.8,34:48.3,,,FALSE
24,Thuốc phóng xạ,,thuoc/thuoc-phong-xa,,,,15,product,2,FALSE,FALSE,,,,,57:03.8,35:28.2,,,FALSE
25,Hệ hô hấp,,thuoc/he-ho-hap,,,,16,product,2,FALSE,FALSE,,,,,57:03.8,52:30.1,,,FALSE
26,Dị ứng & hệ miễn dịch,,thuoc/di-ung-and-he-mien-dich,,,,17,product,2,FALSE,FALSE,"Thuốc dị ứng, ức chế miễn dịch chính hãng, giá tốt 06/2024","Mua thuốc chống dị ứng, thuốc dị ứng điều trị triệu chứng ngứa, mề đay, da chính hãng tại Long Châu giá tốt, chính hãng, có dược sĩ tư vấn, giao nhanh",,,57:03.8,53:42.3,,,FALSE
27,Khí y tế,,thuoc/khi-y-te,,,,18,product,2,FALSE,FALSE,,,,,57:03.8,36:07.5,,,FALSE
28,Hệ nội tiết & chuyển hóa,,thuoc/he-noi-tiet-and-chuyen-hoa,,,,19,product,2,FALSE,FALSE,,,,,57:03.8,10:27.0,,,FALSE
29,Thuốc khác,,thuoc/thuoc-khac,,,,20,product,2,FALSE,FALSE,,,,,57:03.8,38:49.9,,,FALSE
30,Sản phẩm dinh dưỡng,,thuoc/san-pham-dinh-duong,,,,21,product,2,FALSE,FALSE,,,,,57:03.8,59:53.7,,,FALSE
31,Thuốc dùng ngoài,,thuoc/thuoc-dung-ngoai,,,,22,product,2,FALSE,FALSE,,,,,57:03.8,00:49.2,,,FALSE
32,"Thuốc giải độc, khử độc và hỗ trợ cai nghiện",,thuoc/thuoc-giai-doc-khu-doc-va-ho-tro-cai-nghien,,,,23,product,2,FALSE,TRUE,"Thuốc khử độc, giải độc và hỗ trợ cai nghiện chính hãng 2026","Mua thuốc khử độc, thuốc giải độc: Methionin, Vinluta, Glumidtab,... giải độc quá liều paracetamol, giảm độc tính của xạ trị tại Long Châu có dược sĩ tư vấn","Thuốc khử độc, giải độc và hỗ trợ cai nghiện chính hãng 2026","Mua thuốc khử độc, thuốc giải độc: Methionin, Vinluta, Glumidtab,... giải độc quá liều paracetamol, giảm độc tính của xạ trị tại Long Châu có dược sĩ tư vấn",57:03.8,21:51.2,,,FALSE
33,Thuốc da liễu,,thuoc/thuoc-da-lieu,,,,24,product,2,FALSE,TRUE,"Thuốc da liễu, thuốc trị bệnh da liễu chính hãng, giá tốt 2026","Mua thuốc da liễu, kem trị bệnh da liễu: trị mụn, nấm, vảy nến, viêm da chính hãng, nguồn gốc rõ ràng, hiệu quả, có dược sĩ tư vấn miễn phí, giao hàng nhanh!","Thuốc da liễu, thuốc trị bệnh da liễu chính hãng, giá tốt 2026","Mua thuốc da liễu, kem trị bệnh da liễu: trị mụn, nấm, vảy nến, viêm da chính hãng, nguồn gốc rõ ràng, hiệu quả, có dược sĩ tư vấn miễn phí, giao hàng nhanh!",57:03.8,10:52.6,,,FALSE
34,Mắt,,thuoc/mat,,,,27,product,2,FALSE,FALSE,"Thuốc nhỏ mắt, tra mắt giá tốt, chính hãng tại Nhà thuốc Long Châu","Mua thuốc nhỏ mắt, bổ mắt, rửa mắt, sát trùng mắt, nước mắt nhân tạo tốt nhất hiện nay: V Rohto, Osla, Sancoba, Refresh,... chính hãng, Giao hàng nhanh 2-4 giờ!",,,57:03.8,08:18.9,,,FALSE
35,Hệ cơ xương,,thuoc/he-co-xuong,,,,25,product,2,FALSE,FALSE,Các thuốc tác động đến Hệ cơ-xương | Nhà thuốc Long Châu,"Các sản phẩm về Hệ cơ-xương, rối loạn thần kinh cơ, chống thấp khớp có cải thiện hiện trạng, giãn cơ, rối loạn thần kinh cơ... tại nhà thuốc Long Châu.",,,57:03.8,05:08.0,,,FALSE
36,Thuốc ngừa thai,,thuoc/thuoc-ngua-thai,,,,26,product,2,FALSE,FALSE,"20+ Thuốc tránh thai hàng ngày, khẩn cấp hiệu quả nhanh","Mua thuốc tránh thai khẩn cấp, thuốc tránh thai hằng ngày chính hãng, hiệu quả nhanh, giá tốt, có dược sĩ tư vấn, giao hàng nhanh 2-4 giờ.",,,57:03.8,07:47.2,,,FALSE
37,Vitamin & khoáng chất,,thuoc/vitamin-and-khoang-chat,,,,28,product,2,FALSE,FALSE,,,,,57:03.8,11:08.8,,,FALSE
38,Tai & Miệng / Họng,,thuoc/tai-and-mieng-hong,,,,29,product,2,FALSE,FALSE,,,,,57:03.8,12:36.4,,,FALSE
39,"Thuốc gây mê-gây tê, chế phẩm dùng trong phẫu thuật và chăm sóc vết thương",,thuoc/thuoc-gay-me-gay-te-che-pham-dung-trong-phau-thuat-va-cham-soc-vet-thuong,,,,30,product,2,FALSE,FALSE,"Thuốc gây mê-gây tê, thuốc tê chính hãng, giá tốt tại Long Châu","Mua thuốc gây mê - gây tê, thuốc tế, chế phẩm dùng trong phẫu thuật và chăm sóc vết thương an toàn, bảo vệ sức khỏe tại Nhà thuốc Long Châu, giá tốt, chính hãng",,,57:03.8,58:31.1,,,FALSE
40,Dung dịch tiêm tĩnh mạch & các loại dung dịch vô trùng khác,,thuoc/dung-dich-tiem-tinh-mach-and-cac-loai-dung-dich-vo-trung-khac,,,,31,product,2,FALSE,FALSE,Dung dịch tiêm tĩnh mạch & các loại dung dịch vô trùng khác,"Mua Dung dịch tiêm tĩnh mạch & các loại dung dịch vô trùng khác tốt nhất hiện nay, chính hãng, có dược sĩ tư vấn miễn phí. Giao hàng nhanh 2-4 giờ!",,,57:03.8,14:26.5,,,FALSE
41,Sản phẩm chăm sóc da & chăm sóc cá nhân,,thuoc/san-pham-cham-soc-da-and-cham-soc-ca-nhan,,,,32,product,2,FALSE,FALSE,Sản phẩm chăm sóc da & chăm sóc cá nhân | Nhà thuốc Long Châu,"Sản phẩm chăm sóc cá nhân, chăm sóc da giúp hoàn thiện toàn diện cơ thể, từ chăm sóc vùng da chân, vệ sinh cơ thể đến chăm sóc răng miệng.",,,57:03.8,14:37.0,,,FALSE
42,Chưa phân loại,,thuoc/chua-phan-loai,,,,33,product,2,FALSE,FALSE,,,,,57:03.8,39:27.1,,,FALSE
43,Các tác nhân dùng trong chẩn đoán hình ảnh & các chẩn đoán khác,,thuoc/cac-tac-nhan-dung-trong-chan-doan-hinh-anh-and-cac-chan-doan-khac,,,,34,product,2,FALSE,FALSE,,,,,57:03.8,45:24.3,,,FALSE
44,Các sản phẩm trị liệu khác,,thuoc/cac-san-pham-tri-lieu-khac,,,,35,product,2,FALSE,FALSE,,,,,57:03.8,38:49.5,,,FALSE
45,Thực phẩm bổ sung & các sản phẩm hỗ trợ sức khỏe,,thuoc/thuc-pham-bo-sung-and-cac-san-pham-ho-tro-suc-khoe,,,,36,product,2,FALSE,FALSE,Thực phẩm bổ sung & các sản phẩm hỗ trợ sức khỏe | Nhà thuốc Long Châu,"Thực phẩm bổ sung & các sản phẩm hỗ trợ sức khỏe chất lượng, chính hãng tới mọi người, an tâm sử dụng sản phẩm tại Nhà thuốc Long Châu.",,,57:03.8,17:19.3,,,FALSE
46,Mỹ phẩm trang điểm,,duoc-my-pham/my-pham-trang-diem,,,,5,product,2,FALSE,TRUE,"Mỹ phẩm, dụng cụ trang điểm dùng cho mọi loại da - Nhà thuốc Long Châu","Các loại mỹ phẩm trang điểm, dụng cụ trang điểm, son môi đa dạng, giá rẻ ✅ Cam kết chính hãng - Giá rẻ uy tín - Giao hàng nhanh - Chỉ có tại Nhà thuốc Long Châu",,,57:03.8,03:03.3,,,FALSE
47,Chăm sóc cơ thể,,duoc-my-pham/cham-soc-co-the,,,,2,product,2,FALSE,TRUE,"Mỹ phẩm chăm sóc cơ thể chính hãng, giá tốt - Nhà thuốc Long Châu","Các dòng sản phẩm chăm sóc làn da cơ thể, chống nắng, dưỡng thể từ các thương hiệu lớn ✅ Nguồn gốc rõ ràng - Hàng chính hãng - Mua online giá tốt tại Nhà thuốc Long Châu",,,57:03.8,19:39.3,,,FALSE
48,Chăm sóc da mặt,,duoc-my-pham/cham-soc-da-mat,,,,1,product,2,FALSE,TRUE,Dược mỹ phẩm chăm sóc da mặt - Nhà thuốc Long Châu,"Đầy đủ các dòng sản phẩm chăm sóc da mặt, làm sạch da, dưỡng da mặt, làm đẹp đến từ các thương hiệu dược mỹ phẫm lớn ✅ Cam kết chính hãng - Mua online giá rẻ - Mua ngay tại Long Châu",,,57:03.8,12:54.8,,,FALSE
49,Chăm sóc tóc - da đầu,,duoc-my-pham/cham-soc-toc-da-dau,,,,4,product,2,FALSE,TRUE,Sản phẩm chăm sóc tóc và da đầu giá tốt - Nhà thuốc Long Châu,"Sản phẩm chăm sóc tóc và da đầu hỗ trợ làm sạch gàu, giảm ngứa, nuôi dưỡng tóc chắc khỏe ✅ Cam kết sản phẩm chính hãng - Giá rẻ uy tín - Giao hàng nhanh tại Nhà thuốc Long châu",,,57:03.8,36:03.7,,,FALSE
50,Sản phẩm từ thiên nhiên,,duoc-my-pham/san-pham-tu-thien-nhien,,,,7,product,2,FALSE,TRUE,Các sản phẩm tinh dầu có nguồn gốc từ thiên nhiên - Nhà thuốc Long Châu,"Tinh dầu có nguồn gốc thiên nhiên, sản phẩm phù hợp nhiều lứa tuổi ✅ Cam kết chính hãng - Giá tốt uy tín - Giao hàng nhanh - Mua tại tại Nhà thuốc Long Châu",,,57:03.8,12:01.6,,,FALSE
51,Chăm sóc da vùng mắt,,duoc-my-pham/cham-soc-da-vung-mat,,,,6,product,2,FALSE,TRUE,"Sản phẩm chăm sóc da vùng mắt, cải thiện lão hóa","Kem dưỡng da vùng mắt giúp dưỡng ẩm, hỗ trợ tình trạng nếp nhăn và dấu hiệu lão hóa ✅ Cam kết sản phẩm chính hãng - Giá rẻ uy tín - Giao hàng nhanh tại Nhà thuốc Long Châu",,,57:03.8,19:31.7,,,FALSE
52,Giải pháp làn da,,duoc-my-pham/giai-phap-lan-da,,,,3,product,2,FALSE,TRUE,Giải pháp cho làn da khỏe đẹp - Nhà thuốc Long Châu,"Nhà thuốc Long Châu cung cấp các sản phẩm chăm sóc da như mụn, thâm, nám, lão hóa,... Đảm bảo chính hãng - giao nhanh tận nơi.",Giải pháp cho làn da khỏe đẹp - Nhà thuốc Long Châu,"Nhà thuốc Long Châu cung cấp các sản phẩm giúp điều trị và phục hồi da bị hư tổn từ bên trong như mụn, thâm, nám, lão hóa,... một cách hiệu quả nhất",57:03.8,15:02.2,,,FALSE
53,Thiết bị làm đẹp,,cham-soc-ca-nhan/thiet-bi-lam-dep,,,,8,product,2,FALSE,TRUE,"Thiết Bị Làm Đẹp Chính Hãng, Giá Tốt, Giao Tận Nơi","Nhà thuốc Long Châu cung cấp thiết bị làm đẹp chính hãng: máy hút mụn, máy xông tinh dầu, máy massage thư giãn,...Giao nhanh nội thành Sài Gòn, freeship với đơn hàng trên 300k.",,,57:03.8,56:37.9,,,FALSE
54,Chăm sóc răng miệng,,cham-soc-ca-nhan/cham-soc-rang-mieng,,,,4,product,2,FALSE,TRUE,Sản phẩm chăm sóc răng miệng chính hãng - Long Châu,Cam kết 100% sản phẩm chăm sóc răng miệng chính hãng. Đa dạng mẫu mã - Giá tốt - Giao nhanh tận nơi. Mua gì cũng có chỉ có tại Nhà Thuốc Long Châu.,,,57:03.8,51:54.1,,,FALSE
55,Hỗ trợ tình dục,,cham-soc-ca-nhan/ho-tro-tinh-duc,,,,1,product,2,FALSE,TRUE,Sản Phẩm Hỗ Trợ Tình Dục Chính Hãng - Nhà Thuốc Long Châu,"Nhà thuốc Long Châu chuyên sản phẩm hỗ trợ tình dục (BCS, gel bôi trơn) chất lượng từ các thương hiệu uy tín: Durex, OK,... Cam kết giá tốt nhất thị trường, giao tận nơi, thanh toán linh hoạt.",,,57:03.8,47:44.3,,,FALSE
56,Vệ sinh cá nhân,,cham-soc-ca-nhan/ve-sinh-ca-nhan,,,,3,product,2,FALSE,TRUE,Sản Phẩm Vệ Sinh Cá Nhân Giá Tốt | Nhà Thuốc Long Châu,"Các sản phẩm vệ sinh cá nhân như: nước/gel rửa tay, dung dịch vệ sinh, băng vệ sinh giúp bạn có một cơ thể sạch sẽ. Hàng sẵn, giá tốt nhất chỉ có tại Long Châu. Mua ngay!",,,57:03.8,50:36.4,,,FALSE
57,Hàng tổng hợp,,cham-soc-ca-nhan/hang-tong-hop,,,,6,product,2,FALSE,TRUE,Hàng Tổng Hợp |Mua Ngay| Nhà Thuốc Long Châu,Tổng hợp nhiều mặt hàng đáp ứng đồng thời nhu cầu của khách hàng. Sản phẩm chính hãng - Tư vấn tận tình - Đổi trả dễ dàng - Giao hàng tận nơi. Xem ngay!,,,57:03.8,54:00.5,,,FALSE
58,Đồ dùng gia đình,,cham-soc-ca-nhan/do-dung-gia-dinh,,,,5,product,2,FALSE,TRUE,"Đồ Dùng Gia Đình, Đồ Dùng Cho Mẹ Và Bé - Nhà Thuốc Long Châu","Mua sắm online tiện lợi đồ dùng gia đình, đồ dùng cho mẹ và bé tại nhà thuốc Long Châu. Giá rẻ - Chất lượng - Thương hiệu uy tín - Update liên tục. Mua ngay!",,,57:03.8,52:54.6,,,FALSE
59,Thực phẩm - Đồ uống,,cham-soc-ca-nhan/thuc-pham-do-uong,,,,2,product,2,FALSE,TRUE,"Kẹo ngậm, kẹo cao su và các loại đồ uống - Nhà thuốc Long Châu","Đa dạng các loại thực phẩm kẹo ngậm, kẹo cao su và các loại đồ uống tốt cho sức khỏe bán với giá tốt nhất tại nhà thuốc Long Châu, sản phẩm chíh hãng, giao hàng tận nơi nhanh chóng.",,,57:03.9,49:32.6,,,FALSE
60,Tinh dầu các loại,,cham-soc-ca-nhan/tinh-dau-cac-loai,,,,7,product,2,FALSE,TRUE,"Tinh dầu thiên nhiên chính hãng, giá tốt 2026","Mua các loại tinh dầu thiên nhiên chất lượng, giá tốt nhất tại Nhà thuốc Long Châu. Hỗ trợ tư vấn - Giao hàng nhanh trong ngày - Đảm bảo chính hãng.",,,57:03.9,05:13.8,,,FALSE
61,Dinh dưỡng,,thuc-pham-chuc-nang/dinh-duong,,,,16,product,2,FALSE,FALSE,,,,,57:03.9,11:04.5,,,FALSE
62,Sinh lý - Nội tiết tố,,thuc-pham-chuc-nang/sinh-ly-noi-tiet-to,,,,3,product,2,FALSE,TRUE,"Thực phẩm chức năng sinh lý, nội tiết tố - Nhà thuốc Long Châu","Thực phẩm chức năng giúp cải thiện, tăng cường sinh lý nam nữ chính hãng tại Nhà thuốc Long Châu. Đổi trả trong 30 ngày. Miễn phí vận chuyển.",,,57:03.9,58:54.0,,,FALSE
63,Hỗ trợ làm đẹp,,thuc-pham-chuc-nang/lam-dep,,,,7,product,2,FALSE,TRUE,"Sản phẩm làm đẹp da, chăm sóc tóc và ngực - Nhà thuốc Long Châu","Đa dạng sản phẩm viên uống làm đẹp da, trắng da, chăm sóc tóc và tăng kích cỡ ngực với giá tốt nhất tại nhà thuốc Long Châu, giao hàng tận nơi, miễn phí đổi thuốc.",,,57:03.9,11:04.5,,,FALSE
64,Thần kinh não,,thuc-pham-chuc-nang/than-kinh-nao,,,,6,product,2,FALSE,TRUE,Thực phẩm chức năng hỗ trợ thần kinh não - Nhà thuốc Long Châu,"Thực phẩm chức năng thần kinh não giúp bổ não, tăng cường tuần hoàn não, giúp ăn ngon ngủ ngon. Sản phẩm đa dạng, chính hãng, giao hàng tận nơi.",,,57:03.9,11:04.5,,,FALSE
65,Tiêu hóa,,thuc-pham-chuc-nang/ho-tro-tieu-hoa,,,,5,product,2,FALSE,TRUE,91+ Thực phẩm chức năng hỗ trợ tiêu hóa mới nhất 2026,"91+ sản phẩm hỗ trợ tiêu hóa gồm các men vi sinh BioGaia, thực phẩm chức năng hỗ trợ tiêu hóa dạ dày, đại tràng, táo bón, ăn uống khó tiêu,...có dược sĩ tư vấn",91+ Thực phẩm chức năng hỗ trợ tiêu hóa mới nhất 2026,"91+ sản phẩm hỗ trợ tiêu hóa gồm các men vi sinh BioGaia, thực phẩm chức năng hỗ trợ tiêu hóa dạ dày, đại tràng, táo bón, ăn uống khó tiêu,...có dược sĩ tư vấn",57:03.9,11:04.5,,,FALSE
66,Tim mạch - Huyết áp,,thuc-pham-chuc-nang/tim-mach-huyet-ap,,,,9,product,2,FALSE,TRUE,"Thực phẩm chức năng tốt cho tim mạch, huyết áp - Giá ưu đãi","Các sản phẩm, thực phẩm chức năng hỗ trợ tim mạch, huyết áp hiệu quả cho người bị bệnh tim và huyết áp, mua sản phẩm chính hãng, đổi trả trong vòng 30 ngày ngay",,,57:03.9,11:04.5,,,FALSE
67,Tăng cường chức năng,,thuc-pham-chuc-nang/cai-thien-tang-cuong-chuc-nang,,,,23,product,2,FALSE,FALSE,Thực phẩm chức năng cải thiện và tăng cường chức năng cơ thể - Nhà thuốc Long Châu,Đa dạng các thực phẩm chức năng giúp cải thiện và tăng cường chức năng cơ thể. Giao hàng tận nơi. Đổi trả trong 30 ngày. Miễn phí đổi thuốc.,,,57:03.9,11:04.5,,,FALSE
68,Hỗ trợ điều trị,,thuc-pham-chuc-nang/ho-tro-dieu-tri,,,,15,product,2,FALSE,FALSE,Thực phẩm chức năng hỗ trợ điều trị - Nhà thuốc Long Châu,"Thực phẩm chức năng hỗ trợ điều trị các bệnh như thận, cơ xương khớp, hô hấp xoang,... Hàng chính hãng, đổi trả 30 ngày tại Nhà thuốc Long Châu.",,,57:03.9,11:04.5,,,FALSE
69,Vitamin & Khoáng chất,,thuc-pham-chuc-nang/vitamin-khoang-chat,,,,1,product,2,FALSE,TRUE,Viên uống bổ sung vitamin và khoáng chất | Nhà thuốc Long Châu,"110+ loại thực phẩm chức năng bổ sung vitamin và khoáng chất cho người lớn, trẻ em, phụ nữ, vitamin tổng hợp, vitamin C tăng sức đề kháng DHC, Brauer, Blackmores",,,57:03.9,09:51.7,,,FALSE
70,Túi chườm,,trang-thiet-bi-y-te/tui-chuom,,,,4,product,3,FALSE,TRUE,"Mua túi chườm chất lượng, chính hãng giá tốt 2026","Mua các loại túi chườm nóng, lạnh dùng để chườm giảm đau bụng, đau bụng kinh giá rẻ uy tín - Giao hàng nhanh, miễn phí chỉ có tại Nhà thuốc Long Châu.",,,57:04.9,07:36.4,,,FALSE
71,Dụng cụ vệ sinh mũi,,trang-thiet-bi-y-te/dung-cu-ve-sinh-mui,,,,1,product,3,FALSE,TRUE,"Dụng cụ vệ sinh mũi, bình rửa mũi, xịt mũi chính hãng","Mua dụng cụ vệ sinh mũi, dụng cụ rửa mũi, bình rửa mũi, xịt mũi cho trẻ em và người lớn tại Long Châu - Có dược sĩ tư vấn - Giá rẻ - Giao hàng nhanh.",,,57:04.9,46:01.3,,,FALSE
72,Kim các loại,,trang-thiet-bi-y-te/kim-cac-loai,,,,2,product,3,FALSE,TRUE,"Bơm tiêm y tế, kim tiêm các loại chính hãng","Mua các loại bơm tiêm y tế, kim tiêm, kim lấy máu thiết kế đầu kim mỏng, nhỏ, lấy máu nhanh chóng và không đau - Có dược sĩ tư vấn - Giao hàng nhanh.",,,57:04.9,46:01.3,,,FALSE
